"Update  (1 = yes, 0 = no)","Requested variables (1 = yes, 0 = no)",Variable name,Variable definition,Data Type,Unique Value,Missing,Sample Data,Historical Data Available,Notes,Questions,Change,Source File/Table,Source Column,Transformations
0,1,mellon_id,Anonymized student ID; unique identifier of student; used for merging other data,integer,Many,0,411823,Yes,checked,,,XREF_DEIDENTIFY_STUDENT,Mellon_ID,
1,1,student_sid,This column is the unique identifier of a record. ,integer,Many,0,44034,Yes,checked,,,,Generated Sequence,
,0,group_a,indicates if the student is part of mellon group A,binary,2,0,1,"No, start from Fall 2019",checked; including two waves of mellon students,,,XREF_DEIDENTIFY_STUDENT,Group_A,
,0,mellon_enr_dt_a,indicates the date when the student enrolled in Group A,string,many unique values,"98,00%",09/16/2019,"No, start from Fall 2020",checked; including two waves of mellon students,,,XREF_DEIDENTIFY_STUDENT,Mellon_Enr_Dt_A,
,0,group_b,indicates the date when the student enrolled in Group B,binary,2,0,1,"No, start from Fall 2019",checked; including two waves of mellon students,,,XREF_DEIDENTIFY_STUDENT,Group_B,
,0,mellon_enr_dt_b,indicates the date when the student enrolled in Group B,time,many unique values,"99,00%",09/16/2019,"No, start from Fall 2020",checked; including two waves of mellon students,,,XREF_DEIDENTIFY_STUDENT,Mellon_Enr_Dt_B,
1,1,mellon_yr,DERIVED VARIABLE：indicating the cohort year of Mellon sample,integer,2,"99,00%",2019,"No, start from Fall 2021",checked; including two waves of mellon students,,,,,
0,1,birth_year,Year of birth,integer,75,0,1995,Yes,"checked, recoded",,,DUE.SIS_Cumulative,Birthdate - get_date_part 'YYYY',
0,1,birth_month,Month of birth,integer,12,0,6,Yes,"checked, recoded",,,DUE.SIS_Cumulative,Birthdate - get_date_part 'MM',
0,1,gender,Indicates student's gender: F = female  M = male  U = Unknown/not stated  X = Non-binary ,string,4,"0,002",F,Yes,,,,DUE.SIS_Cumulative,Sex,
0,1,female,DERIVED VARIABLE：Indicates whether the student is female. Values are 1 and 0,binary,2,1%,1,Yes,"derived from ""gender"", code F as 1 and M as 0",,,,,
1,1,int_student,Indicates whether the student is international student. Values are 1 and 0,binary,2,65%,1,Yes,"might be problematic, currently checking; could be derived from citizenship?",,,"DUE.SIS_Cumulative
DUE.LookupEthnicCodes","Description
EthnicCode - decode using LookupEthnicCodes",If ethnicity='International Student' then 1 else 0.
0,1,ethnicity,"Values are American Indian/Alaskan Native, Asian/Asian American, Black, Hispanic, Pacific Islander, Two or more ethnicities, White non-Hispanic, Unknown / declined to state",string,9,0,Hispanic,Yes,"checked, recoded, code ""Unknown"" as ""Unknown / declined to state""",,,"DUE.SIS_Cumulative
DUE.LookupEthnicCodes","Description
EthnicCode - decode using LookupEthnicCodes",
,0,ethnicity_detail,More detailed information for student's ethnicity,string,23,"0,12",Japanese/Japanese-American,Yes,,,,,,
0,1,asian,DERIVED VARIABLE：Indicates whether the student is Asian student. Values are 1 and 0,binary,2,10%,1,Yes,"derived from ""ethnicity_detail"", detail can be refered to the data clearning code",,,,,
0,1,hispanic,DERIVED VARIABLE：Indicates whether the student is Hispanic student. Values are 1 and 0,binary,2,10%,1,Yes,"derived from ""ethnicity_detail"", detail can be refered to the data clearning code",,,,,
0,1,black,DERIVED VARIABLE：Indicates whether the student is Black student. Values are 1 and 0,binary,2,10%,1,Yes,"derived from ""ethnicity_detail"", detail can be refered to the data clearning code",,,,,
0,1,white,DERIVED VARIABLE：Indicates whether the student is White student. Values are 1 and 0,binary,2,10%,1,Yes,"derived from ""ethnicity_detail"", detail can be refered to the data clearning code",,,,,
0,1,urm,"RECODED VARIABLE: Indicates if a student is part of the underrepresented minority group (African American/Black, Hispanic/Latino, American Indian or Native American, Native Hawaiian or Pacific Islander). Values are 1 and 0",binary,2,13%,1,Yes,,,,SDW.D_Lookup_Ethnicity_IPEDS,Ethnicity_IPEDS_URM_Ind,
0,1,citizenship_app,"Student's citizenship status. Values are US Citizen, Not US Citizen, US Citizen in Transit, Permanent Resident, Unknown ",string,5,0,Permanent Resident,Yes,checked,,,,,
0,1,first_generation,Code indicating whether student is considered to be first generation college student. Values are 1 and 0,binary,2,45%,1,high missing before 2019,,Double check the definition,,SDW.D_Student_UG_App_Info,First_Generation_Ind,
