,"Requested variables (1 = yes, 0 = no)",Variable Name,Change,Variable Definition,Historical Data Available,Questions,Source File/Table,Source Column,Data Type,Sample Data,Unique Value,Missing,Notes
1,1,student_term_sid (pk),,"randomly generated sequence number that acts as the unique 
identifier of the records",,,,,,,,Missing,
0,1,mellon_id,,Anonymized student ID,,,Xref_Deidentify_Student,Mellon_ID,integer,162776,48993 obs.,0,
,0,group_a,,indicates if the student is part of mellon group A,,,XREF_DEIDENTIFY_STUDENT,Group_A,binary,0,"0: 97.25%
1: 2.74% (6060)",0,
,0,mellon_enr_dt_a,,indicates the date when the student enrolled in Group A,,,XREF_DEIDENTIFY_STUDENT,Mellon_Enr_Dt_A,time,09/03/2019 0:00:00,many unique number,97.25%,
,0,group_b,,indicates if the student is part of mellon group B,,,XREF_DEIDENTIFY_STUDENT,Group_B,,,,Missing,
,0,mellon_enr_dt_b,,indicates the date when the student enrolled in Group B,,,XREF_DEIDENTIFY_STUDENT,Mellon_Enr_Dt_B,time,09/16/2019 10:51:00,many unique number,99.23%,
0,1,term_code,,"Term code of the current term (Banner term code). This is the code used in different administrative databases. Term_desc is the translation of the values in this column. 
03: Winter quarter
14: Spring quarter
51: Summer
92: Fall quarter",,XL:the definition of the value,SDW.D_Time_Academic_Term,Term_Code,integer,202003,"202003: 16.12%
201992: 16.59%
202014: 15.27%
202092: 9.7%
202051: 5.62%
201903: 15.74% 
201914: 15.11%
201951: 5.82%
NA",0.91%,
0,1,term_desc,,Long name of the current term and year (eg: Spring Semester 2019),,,SDW.D_Time_Academic_Term,Term_Name_and_Year,string,Winter Quarter 2020,"Fall Semester 2020：0.16%
Fall Quarter 2020：9.61%
Summer 2020：5.57%
Spring Semester 2020：0.25%
Spring Quarter 2020：15.13%
Winter Quarter 2020: 15.97%
Fall Semester 2019：0.25%
Fall Quarter 2019： 16.43%
Summer 2019：5.76%
Spring Semester 2019：0.23%
Spring Quarter 2019：14.97%
Winter Quarter 2019：15.6%",,
0,1,term_part_code,,"A subdivision of an Academic Term. Not all terms have separate Term Parts (in which case the Term Part is 1), but some do. Example: For Academic Term ending in 51 (Summer), 92 (Fall) , 03 (Winter) , 14 (Spring)",,"XW: Not sure if this is the definition for term_part_code. The data in this column in the student term spreadsheet is like 3, 29, 14, 51.

This is the last two characters of Term_Code - DM 20201015",SDW.D_Time_Academic_Term,Legacy_Term_Code,integer,3,"03: 31.62%
92: 26.08%
14: 30.03%
51: 11.2%
25: 0.09%
1L: 0.02%
8F: 0.42%
0S: 0.49%
NA",0.13%,"XW: Not sure if this data type is integer, but based on it's definition, I think it is integer."
0,1,term_part_desc,,"The description of the Term Part. Values are : Fall Quarter, Winter Quarter, Spring Quarter, Summer Quarter",,,SDW.D_Time_Academic_Term_Part,Term_Part_Desc,string,Winter Quarter,"Winter Quarter: 31.62%
Fall Quarter: 26.08%
Spring Quarter: 30.03%
Summer Quarter (Med School) and Summer Academic Term (OIR): 11.2%
Summer-1: 0.09%
Summer Law Session: 0.02%
Fall Semester: 0.42%
Spring Semester: 0.49%
NA",0.13%,XL: double check the definition document. 
,0,enrollment_open_date,,The date on which enrollment opens for the term.,,,SDW.D_Time_Academic_Term_Part,Registration_Start_Date,integer,05/20/2019,"05/20/2019: 31.27%
11/23/2020: 55.28%
02/24/2020: 8.88%
03/01/2019: 4.55%
NA",99.41%,XL: high missing rate
,0,enrollment_close_date,,The date on which enrollment closes for the term.,,,SDW.D_Time_Academic_Term_Part,Registration_End_Date,integer,09/16/2019,"09/16/2019: 31.27%
12/14/2020: 55.28%
03/11/2020: 8.88%
08/06/2019: 4.55%
NA",99.41%,XL: high missing rate
,0,instruction_start_date,,The date on which instruction begins.,,,SDW.D_Time_Academic_Term_Part,Instruction_Start_Date,integer,09/26/2019,"09/26/2019: 31.27%
01/06/2020: 55.28%
03/30/2020: 8.88%
05/03/2019: 4.55%
NA",99.4%,XL: high missing rate
,0,instruction_end_date,,The last date of instruction.,,,SDW.D_Time_Academic_Term_Part,Instruction_End_Date,integer,12/06/2019,"12/06/2019: 31.27%
03/13/2020: 55.28%
06/05/2020: 8.88%
08/06/2019: 4.55%
NA",99.41%,XL: high missing rate
0,1,citizenship,new column to be added,"Student's citizenship status. Values are U.S. Citizen, Resident alien, International Student.",,,,,,,,,
1,1,household_size,new column to be added,,,,,,,,,,
,0,city_residence,new column to be added,Student's current city of residence,,,DUE.SIR,PermCity,,"PLEASANTON 
BAKERSFIELD 
GARDEN GROVE",,,
,0,state_residence,new column to be added,Student's current state of residence,,,DUE.SIR,PermState,,"CA
MD
FL",,,
,0,country_residence,new column to be added,Student's current country of residence,,"if they're attending UCI, wouldn’t this always be US?
",,,,,,missing,
,0,zip_code,new column to be added,Student's current ZIP/postal code,,"add ""-"" if zip is 9 digits, only if it is a US address",DUE.SIR,PermZip,,"94587 
928073630 
",,,
1,1,housing_status,see if we can find this column,,,,,,,,,,"add from ""Student_Adhoc_20200318"""
1,1,housing_status_desc,see if we can find this column,,,,,,,,,,"add from ""Student_Adhoc_20200318"""
1,1,housing_complex_name,see if we can find this column,,,,,,,,,,"add from ""Student_Adhoc_20200318"""
1,1,currently_enrolled,new column to be added,indicates if the student is currently enrolled at UCI,,,,,,,,,
1,1,cumulative_term_enroll,,"Recoded: total terms student has enrolled at UCI, excluding summer",,,,,,,,,
0,1,levelcd,new column to be added,"identify freshman/junior. Values are as follows:
1	Freshman
2	Sophomore
3	Junior
4	Senior
5	Masters
6	Doctoral 1
7	Doctoral 2
8	Doctoral 2a
L	Post Bacc
P	Teacher Ed Post Bacc or Intern Resident
R	
S	Special
",,,DUE.SIR,levelcd,integer,2,"2: 72.34%
3: 25.98%
4: 1.53%
6: 0.13%
NA","19,52%","Value: 1, 2, 3, 4, L;"
,0,pascd,,,,,DUE.SIR,,,,,,
