"Update  (1 = yes, 0 = no)","Requested variables (1 = yes, 0 = no)",Variable name,Change,Variable definition,Questions,Unique Value,Missing,Notes,Source File/Table,Source Column,Transformations,Data Type,Sample Data
0,1,mellon_id,,Anonymized student ID,,46044,0,,XREF_DEIDENTIFY_STUDENT,Mellon_ID,,"bigint
integer",162766
,0,group_a,,indicates if the student is part of Group_A,,"0: 97.2%
1: 2.79% (1209 unique student)",0,,,,,binary,1
,0,mellon_enr_dt_a,,the date student consented to be part of Group A,,many unique values,"97,20%",,,,,time,09/19/2019 00:00:00
,0,group_b,,indicates if the student is part of Group_B,,"0: 99.18%
1: 0.81% (337 unique student)",0,,,,,binary,1
,0,mellon_enr_dt_b,,the date student consented to be part of Group B,,many unique values,"99,18%",,,,,time,09/24/2019 00:00:00
0,1,term_code,,"Term code of the current term (Banner term code);
03: Winter quarter
14: Spring quarter
51: Summer
92: Fall quarter",,"201903: 19.39%
201914: 17.96%
201992: 21.56%
202003: 21.57%
202014: 19.5%
202051: approximate 0",0,,SDW.D_Time_Academic_Term,Term_Code,,"varchar(6)
integer",201992
0,1,term_desc,,Name of the current term,,missing,missing,,,,,string,Fall 2019
0,1,course_code,,The five digit code representing the course section,,19494 courses,0,,ODS_SIS.ODS_SOC_INFO,SC_COURSE_CODE,,"numeric(5,0)
integer",17291
1,1,course_code_concat,,"For cross-listed courses in Banner, this is the course codes for all cross-listings, aggregated together from lowest (numerically) to highest. If course_code_concat for two (or more) courses are the same, the two (or more) courses are cross-listed. If a course is not cross-listed, then this contains the single course_code.",have to wait for SDW.F_010_Student_Enr_Daily to add CRS_Section_SID,NA: numeric(0),1(100%),,SDW.D_CRS_Section,CRN_Concat,,"varchar(30)
integer",6218567135
1,1,course_title,,Descriptive title of the course (eg: Calculus),,many unique values,58%,XL: it is all missing before term 201903,ODS_SIS.ODS_SOC_INFO,SC_COURSE_TITLE,,"varchar(19)
string",CANCER EPI/ONCOLOGY
0,1,course_dept_code_and_num,,"The full ""name"" of the course. EG: ""MATH 10a""",,4685 unique values,0,,ODS_SIS.ODS_SOC_INFO,"SC_DEPT_NAME, SC_COURSE_NO","concatenate SC_DEPT_NAME, SC_COURSE_NO","varchar(15)
string",EPIDEM 299
0,1,course_section_num,,"The course number for the course section. This is often the same as Course_Number, but does not have to be.",,617 unique values,0,,ODS_SIS.ODS_SOC_INFO,SC_SECTION_NO,,"varchar(5)
factor","299, K, A, 80"
1,1,course_section_title,,"Descriptive title of the course section. This is often the same as Course Title, but does not have to be.",have to wait for SDW.F_010_Student_Enr_Daily to add CRS_Section_SID,NA: numeric(0),1(100%),,SDW.D_CRS_Section,Crs_Section_Title,,varchar(3),254
0,1,school_code,,"School code (aka College Code) for the school offering the course, as it appears in Banner. Prior to the Banner go-live, School Code and Legacy School code are the same.",have to wait for SDW.F_010_Student_Enr_Daily to add CRS_Section_SID,NA: numeric(0),1(100%),,SDW.D_CRS_Section,,join on SOC_INFO.SC_COURSE_CODE=DUE.ECF.SchoolCode,varchar(3),96
0,1,school_name_abbrev,,"Abbreviated school name of the school offering the course. Example, ""Engr.""","Just to confirm, this is the school that offers the course, not the school that houses the student's major - -this column is not available in SDW but it is in DUE. Although the data in due is only partial. I can map it from DUE for now. And once SDW has this available i can change the mapping and have more complete data - DM 2/13",NA: numeric(0),1(100%),,SDW.D_CRS_Section,,join on ECF.SchoolCode=School.SchoolID,varchar(25),Humanities
0,1,dept_code,,"Numeric code representing the department offering the course, as it appears in the KFS organizational hierarchy",have to wait for SDW.F_010_Student_Enr_Daily to add CRS_Enr_Section_SID,NA: numeric(0),1(100%),,SDW.D_Crs_Enr_Section,dept_code,,varchar(10),05488
0,1,dept_name_abbrev,,Abbreviated department name for the department offering the course. In Banner this is distinct from the subject of the course. In the legacy system it is always the same as the subject of the course.,have to wait for SDW.F_010_Student_Enr_Daily to add CRS_Enr_Section_SID,NA: numeric(0),1(100%),,SDW.D_Crs_Enr_Section,dept_name,,varchar(25),EARTHSS
