"";"requested";"in_data";"use_raw";"use_feature";"exclude";"num_unique";"examples";"type";"total_missing";"missing_2006";"missing_2007";"missing_2008";"missing_2009";"missing_2010";"missing_2011";"missing_2012";"missing_2013";"missing_2014";"missing_2015";"missing_2016";"missing_2017";"missing_2018"
"mellon_id";TRUE;TRUE;NA;FALSE;TRUE;97049;"399229, 196276, 185813, 173223, 190267";"numeric";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"student_sid";TRUE;TRUE;NA;FALSE;TRUE;97049;"4128117, 10857014, 10857958, 10859282, 10863615";"numeric";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"group_a";TRUE;TRUE;NA;FALSE;TRUE;2;"no, yes";"character";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mellon_enr_dt_a";TRUE;TRUE;NA;FALSE;TRUE;6;"NA, 9/18/2020, 9/1/2019, 10/19/2021, 9/1/2022";"character";0,994301847520325;1;1;1;1;1;1;1;1;1;1;1;0,981269939281671;0,957326892109501
"group_b";TRUE;TRUE;NA;FALSE;TRUE;2;"no, yes";"character";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mellon_enr_dt_b";TRUE;TRUE;NA;FALSE;TRUE;5;"NA, 9/18/2020, 9/1/2019, 10/19/2021, 9/1/2022";"character";0,998701686776783;1;1;1;1;1;1;1;1;1;1;1;0,995986415560358;0,989993098688751
"mellon_yr";TRUE;TRUE;NA;FALSE;TRUE;5;"NA, 2020, 2019, 2021, 2022";"numeric";0,994301847520325;1;1;1;1;1;1;1;1;1;1;1;0,981269939281671;0,957326892109501
"birth_year";TRUE;TRUE;NA;TRUE;FALSE;56;"1977, 1997, 2000, 1999, 1995";"numeric";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"birth_month";TRUE;TRUE;NA;TRUE;FALSE;12;"3, 11, 1, 7, 8";"numeric";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gender";TRUE;TRUE;NA;FALSE;FALSE;5;"M, F, U, NA, X";"character";0,00145287432121918;0;0;0;0;0;0;0,00057454754380925;0,000262329485834208;0,000520833333333333;0,00163893091275845;0,00236839272257509;0,00452814654728826;0,00598113641591902
"female";TRUE;TRUE;NA;FALSE;FALSE;3;"no, yes, NA";"character";0,00582180135807685;0,00705882352941176;0,0112011790714812;0,00599907706506691;0,00419533478771606;0,0105084221913151;0,0028328611898017;0,00330364837690319;0,00459076600209864;0,00494791666666667;0,0037821482602118;0,00516740230380019;0,00555727076258104;0,00736139866574649
"int_student";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, 0, 1";"numeric";0,279910148481695;0,997019607843137;0,997494473102432;0,996308260267651;0,994965598254741;0,0298253747488796;0,0293201133144476;0,0249928181557024;0,0243966421825813;0,0319010416666667;0,0316439737771054;0,0249757778017009;0,015128125964804;0
"ethnicity";TRUE;TRUE;NA;FALSE;FALSE;7;"White non-Hispanic, NA, Asian / Asian American, Hispanic, Black";"character";0,0575173366031592;0,0605490196078431;0,0738393515106853;0,0824488540224581;0,0750125860043632;0,0777314170916396;0,0458923512747875;0,0428037920137891;0,0444648478488982;0,0490885416666667;0,0494200706001009;0,0509204435353644;0,043943603993002;0,0665976535541753
"ethnicity_detail";TRUE;TRUE;NA;FALSE;FALSE;15;"White/Caucasian, NA, East Indian/Pakistani, Chicano/Mexican-American, Korean";"character";0,0523859081494915;0,04;0,0552689756816507;0,0615289955391478;0,0575599932874643;0,0775768814711791;0,0458923512747875;0,0428037920137891;0,0444648478488982;0,0490885416666667;0,0494200706001009;0,0509204435353644;0,043943603993002;0,0665976535541753
"asian";TRUE;TRUE;NA;FALSE;FALSE;3;"no, NA, yes";"character";0,0523859081494915;0,04;0,0552689756816507;0,0615289955391478;0,0575599932874643;0,0775768814711791;0,0458923512747875;0,0428037920137891;0,0444648478488982;0,0490885416666667;0,0494200706001009;0,0509204435353644;0,043943603993002;0,0665976535541753
"hispanic";TRUE;TRUE;NA;FALSE;FALSE;3;"no, NA, yes";"character";0,0523859081494915;0,04;0,0552689756816507;0,0615289955391478;0,0575599932874643;0,0775768814711791;0,0458923512747875;0,0428037920137891;0,0444648478488982;0,0490885416666667;0,0494200706001009;0,0509204435353644;0,043943603993002;0,0665976535541753
"black";TRUE;TRUE;NA;FALSE;FALSE;3;"no, NA, yes";"character";0,0523859081494915;0,04;0,0552689756816507;0,0615289955391478;0,0575599932874643;0,0775768814711791;0,0458923512747875;0,0428037920137891;0,0444648478488982;0,0490885416666667;0,0494200706001009;0,0509204435353644;0,043943603993002;0,0665976535541753
