"";"requested";"in_data";"use_raw";"use_feature";"exclude";"num_unique";"examples";"type";"total_missing";"missing_2006";"missing_2007";"missing_2008";"missing_2009";"missing_2010";"missing_2011";"missing_2012";"missing_2013";"missing_2014";"missing_2015";"missing_2016";"missing_2017";"missing_2018"
"mellon_id";TRUE;TRUE;NA;FALSE;TRUE;96515;"162767, 162770, 162771, 162774, 162778";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"group_a";TRUE;TRUE;NA;FALSE;TRUE;2;"0, 1";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mellon_enr_dt_a";TRUE;TRUE;NA;FALSE;FALSE;6;"NA, 09/18/2020 00:00:00, 09/01/2019 00:00:00, 09/01/2022 00:00:00, 09/02/2020 00:00:00";NA;0,992529456924343;1;1;1;1;1;1;1;1;1;1;1;0,975466945916424;0,943411023947569
"group_b";TRUE;TRUE;NA;FALSE;TRUE;2;"0, 1";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mellon_enr_dt_b";TRUE;TRUE;NA;FALSE;FALSE;6;"NA, 09/18/2020 00:00:00, 09/01/2019 00:00:00, 09/01/2022 00:00:00, 10/19/2021 14:56:52";NA;0,998279752330406;1;1;1;1;1;1;1;1;1;1;1;0,994486020961787;0,986817386863592
"term_code";TRUE;TRUE;NA;FALSE;FALSE;45;"202014, 201992, 202003, 202203, 201903";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"term_desc";TRUE;TRUE;NA;FALSE;FALSE;45;"Spring 2020, Fall 2019, Winter 2020, Winter 2022, Winter 2019";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"course_code";TRUE;TRUE;NA;FALSE;FALSE;28312;"5751, 5820, 88013, 30350, 88080";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"course_code_concat";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"course_title";TRUE;TRUE;NA;FALSE;FALSE;8333;"EXP MICROBIO LAB, GENERAL MICROBIOL, HUMAN GROWTH & DEV, INTRO TO ETHICS, SCHLRY CONCNTRTN I";NA;0,0163582794140036;0,057316335683295;0,0416404839363978;0,0220031483767608;0,00273843062314072;0,00286819131385125;0,00774419303898613;0,0142298183800199;0,0208546909711953;0,0252147201355848;0,0200586832306663;0,0125632471050106;0,00681935128596319;0,000699154732061615
"course_dept_code_and_num";TRUE;TRUE;NA;FALSE;FALSE;4820;"BIOSCI M118L, BIOSCI M122, NURSCI 116, PHILOS 4, NURSCI 179AW";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"course_section_num";TRUE;TRUE;NA;FALSE;FALSE;1640;"2A, A, 1, A4, D";NA;0,000235029130295039;0,000324692455364934;0,000437483594365211;0,000499380210855056;0,000450307193938865;0,000488925957785035;0,00055636972306993;0,000218995152907282;0,000151217635534365;5,51696134596203e-05;2,14485492201308e-05;4,17263080744035e-05;8,30527294557338e-05;4,05307091050211e-05
"course_section_title";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"school_code";TRUE;TRUE;NA;FALSE;FALSE;22;"NA, 57, 95, LA, 96";NA;0,65670846202048;0,206013304273359;0,308319877398537;0,504929161522881;0,743434661833369;0,733822956511736;0,722402286087679;0,734409978392478;0,759032473987231;0,738617405351011;0,690559635546252;0,658237952435637;0,651256172533018;0,83016416963723
"school_name_abbrev";TRUE;TRUE;NA;FALSE;FALSE;21;"NA, Arts, ICS, LARC (TAP), Public Health";NA;0,656729337502191;0,206013304273359;0,308319877398537;0,504939301222594;0,743440290673294;0,733828185666364;0,722407021149152;0,734412411671955;0,759032473987231;0,738630646058241;0,690602532644692;0,658290563867557;0,651315753838932;0,830198620739969
"dept_code";TRUE;TRUE;NA;FALSE;FALSE;95;"NA, ART, STATS, CHEM, PUBHLTH";NA;0,715026639634118;0,651138249988839;0,674255018467111;0,698483354415459;0,743482506972725;0,733822956511736;0,722402286087679;0,734409978392478;0,759032473987231;0,738617405351011;0,690559635546252;0,658237952435637;0,651256172533018;0,83016416963723
"dept_name_abbrev";TRUE;TRUE;NA;FALSE;FALSE;103;"BIOSCI, NURSCI, PHILOS, ART, STATS";NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"course_level";TRUE;TRUE;NA;FALSE;FALSE;2;"NA, Undergraduate";NA;0,707423825187276;0,571543953211817;0,614258783477438;0,698463075016033;0,743482506972725;0,733822956511736;0,722402286087679;0,734409978392478;0,759032473987231;0,738617405351011;0,690559635546252;0,658237952435637;0,651256172533018;0,83016416963723
"course_type";TRUE;TRUE;NA;FALSE;FALSE;12;"DIS, LEC, RES, LAB, SEM";NA;0,491193066172758;0,69244318896695;0,618689299151282;0,388175589179926;0,121833425740122;0,151208849821294;0,203624216051385;0,40226246325748;0,678484621388845;0,980756838825284;0,87367876936804;0,677923698910218;0,42656965144936;0,107615112280197
