"";"requested";"in_data";"use_raw";"use_feature";"exclude";"num_unique";"examples";"type";"total_missing";"missing_2006";"missing_2007";"missing_2008";"missing_2009";"missing_2010";"missing_2011";"missing_2012";"missing_2013";"missing_2014";"missing_2015";"missing_2016";"missing_2017";"missing_2018"
"student_term_sid (pk)";TRUE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"mellon_id";TRUE;TRUE;NA;FALSE;TRUE;97021;"162767, 162770, 162771, 162774, 162778";"numeric";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"group_a";TRUE;TRUE;NA;FALSE;TRUE;2;"0, 1";"numeric";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mellon_enr_dt_a";TRUE;TRUE;NA;FALSE;FALSE;6;"NA, 09/18/2020 00:00:00.000, 09/01/2019 00:00:00.000, 09/01/2022 00:00:00.000, 09/02/2020 00:00:00.000";"character";0,992880857072989;1;1;1;1;1;1;1;1;1;1;1;0,975701980087258;0,946385956144187
"group_b";TRUE;TRUE;NA;FALSE;TRUE;2;"0, 1";"numeric";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mellon_enr_dt_b";TRUE;TRUE;NA;FALSE;FALSE;6;"NA, 09/18/2020 00:00:00.000, 09/01/2019 00:00:00.000, 09/01/2022 00:00:00.000, 10/19/2021 14:56:52.953";"character";0,998384065809388;1;1;1;1;1;1;1;1;1;1;1;0,994809262781072;0,987467982757544
"term_code";TRUE;TRUE;NA;FALSE;FALSE;47;"201892, 202003, 202014, 201914, 202203";"numeric";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"term_desc";TRUE;TRUE;NA;FALSE;FALSE;47;"Fall 2018, Winter 2020, Spring 2020, Spring 2019, Winter 2022";"character";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"term_part_code";TRUE;TRUE;NA;FALSE;FALSE;4;"92, 03, 14, NA";"character";3,52487349008739e-05;0;0;0;0;0;0;1,47780339303659e-05;2,70306798215975e-05;1,34829036781361e-05;1,31461324078456e-05;0,000146783189937448;2,23738673229668e-05;0,000149934403698382
"term_part_desc";TRUE;TRUE;NA;FALSE;FALSE;7;"Fall, Winter, Spring, NA, Fall Quarter";"character";3,52487349008739e-05;0;0;0;0;0;0;1,47780339303659e-05;2,70306798215975e-05;1,34829036781361e-05;1,31461324078456e-05;0,000146783189937448;2,23738673229668e-05;0,000149934403698382
"enrollment_open_date";TRUE;TRUE;NA;FALSE;FALSE;4;"NA, 05/20/2019 00:00:00.000, 11/23/2020 00:00:00.000, 02/24/2020 00:00:00.000";"character";0,999953736035443;1;1;0,999984368649764;1;1;0,999985574773163;1;1;0,999986517096322;0,999986853867592;0,999954835941558;0,999876943729724;0,999712625726245
"enrollment_close_date";TRUE;TRUE;NA;FALSE;FALSE;4;"NA, 09/16/2019 00:00:00.000, 12/14/2020 00:00:00.000, 03/11/2020 00:00:00.000";"character";0,999953736035443;1;1;0,999984368649764;1;1;0,999985574773163;1;1;0,999986517096322;0,999986853867592;0,999954835941558;0,999876943729724;0,999712625726245
"instruction_start_date";TRUE;TRUE;NA;FALSE;FALSE;4;"NA, 09/26/2019 00:00:00.000, 01/06/2020 00:00:00.000, 03/30/2020 00:00:00.000";"character";0,999953736035443;1;1;0,999984368649764;1;1;0,999985574773163;1;1;0,999986517096322;0,999986853867592;0,999954835941558;0,999876943729724;0,999712625726245
"instruction_end_date";TRUE;TRUE;NA;FALSE;FALSE;4;"NA, 12/06/2019 00:00:00.000, 03/13/2020 00:00:00.000, 06/05/2020 00:00:00.000";"character";0,999953736035443;1;1;0,999984368649764;1;1;0,999985574773163;1;1;0,999986517096322;0,999986853867592;0,999954835941558;0,999876943729724;0,999712625726245
"citizenship";TRUE;TRUE;NA;FALSE;FALSE;3;"US Citizen, Not US Citizen, NA";"character";0,00142316767162279;0;0;1,56313502360334e-05;0;1,5987977041265e-05;1,4425226836692e-05;5,91121357214636e-05;4,05460197323963e-05;2,69658073562722e-05;0,00157753588894147;0,00247273219971547;0,00310996755789238;0,0082838758043356
"household_size";TRUE;TRUE;NA;FALSE;FALSE;15;"NA, 3, 4, 6, 5";"numeric";0,902405065243205;0,999293336159989;0,999434014133476;0,998608809828993;0,998097313752962;0,990822901178314;0,924382960922061;0,784403262989892;0,741735369644547;0,679443965052314;0,671386128201083;0,999672560576293;0,999843382928739;0,999912538264509
"city_residence";TRUE;TRUE;NA;FALSE;FALSE;3464;"HUNTINGTON BEACH, OCEANSIDE, SANTA ANA, SAN DIMAS, WEST COVINA";"character";0,00013328427884393;7,06663840011307e-05;0;7,81567511801669e-05;0;3,19759540825299e-05;1,4425226836692e-05;7,38901696518295e-05;0,00010812271928639;0,000107863229425089;0,000131461324078456;0,000225820292211458;0,000223738673229668;0,000487286812019741
"state_residence";TRUE;TRUE;NA;FALSE;FALSE;63;"CA, NV, NA, RI, CT";"character";0,038004745360936;0,00134266129602148;0,00252267986222287;0,00486134992340638;0,00335564665386678;0,0155243257070683;0,00669330525222509;0,0259206715138618;0,050236518448439;0,0502372991047352;0,0904453909659778;0,0962446085405235;0,0404407651862624;0,0516399075404511
"country_residence";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"logical";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"zip_code";TRUE;TRUE;NA;FALSE;FALSE;10975;"92648, 92057, 92707, 91773, 91791";"character";0,000735817341055744;0,000423998304006784;0,0002910784456411;0,000547097258261169;0,000968640271219276;0,000895326714310838;0,00050488293928422;0,000960572205473784;0,000527098256521151;0,00101121777586021;0,000880790871325656;0,000790371022740103;0,000514598948428236;0,0010995189604548
"housing_status";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, On-campus, Off-campus";"character";0,758659622794476;0,998940004239983;0,99954721130678;0,999343483290087;0,998806496808676;0,995411450589157;0,965581408767653;0,886031802329018;0,82673334234356;0,745901197281847;0,613267076825998;0,678465776934715;0,438628481933102;0,140551008933592
"housing_status_desc";TRUE;TRUE;NA;FALSE;FALSE;4;"NA, On-campus: ACC, Off-campus: Commuter, On-campus: UCI";"character";0,758659622794476;0,998940004239983;0,99954721130678;0,999343483290087;0,998806496808676;0,995411450589157;0,965581408767653;0,886031802329018;0,82673334234356;0,745901197281847;0,613267076825998;0,678465776934715;0,438628481933102;0,140551008933592
"housing_complex_name";TRUE;TRUE;NA;FALSE;FALSE;15;"NA, Vista del Campo, Off-campus commuter, Middle Earth, Mesa Court";"character";0,758659622794476;0,998940004239983;0,99954721130678;0,999343483290087;0,998806496808676;0,995411450589157;0,965581408767653;0,886031802329018;0,82673334234356;0,745901197281847;0,613267076825998;0,678465776934715;0,438628481933102;0,140551008933592
"currently_enrolled";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"logical";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"cumulative_term_enroll";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"logical";1;1;1;1;1;1;1;1;1;1;1;1;1;1
"levelcd";TRUE;TRUE;NA;FALSE;FALSE;7;"1, 3, 4, 2, NA";"character";0,000549659959860503;0;0;1,56313502360334e-05;0;0;1,4425226836692e-05;5,91121357214636e-05;4,05460197323963e-05;2,69658073562722e-05;3,94383972235368e-05;0,000812953051961249;0,00178990938583734;0,00316111701130755
