College Code,School,Major Code,Major,CIP Code,CIP,Undergrad Major,OIR STEM,IVLE STEM,HHMI Nat Sci
2,Health Science,0,Undeclared,30.9999,"Multi-/InterdisciplinaryStudies,Other",1,0,NA,0
2,Health Science,5,Unaffiliated,30.9999,"Multi-/InterdisciplinaryStudies,Other",1,0,NA,0
2,Health Science,789,Public Health,51.2201,"PublicHealth,General",0,0,NA,NA
2,Health Science,01T,Medicinal Chemistry and Pharmacology,26.1001,Pharmacology,1,1,0,0
2,Health Science,75A,Pharmaceutical Sciences,51.201,PharmaceuticalSciences,1,0,1,0
2,Health Science,7A0,Public Health Sciences,51.2299,"PublicHealth,Other",1,0,0,0
2,Health Science,7A1,Public Health Policy,51.2299,"PublicHealth,Other",1,0,0,0
6,Interdisiciplinary Studies,0,Undeclared,30.9999,"Multi-/InterdisciplinaryStudies,Other",1,0,NA,0
8,Undergrad Ed,0,Undeclared,30.9999,"Multi-/InterdisciplinaryStudies,Other",1,0,NA,0
8,Undergrad Ed,5,Unaffiliated,30.9999,"Multi-/InterdisciplinaryStudies,Other",1,0,NA,0
55,Biological Sci,0,Undeclared,30.9999,"Multi-/InterdisciplinaryStudies,Other",1,0,0,1
55,Biological Sci,5,Unaffiliated,30.9999,"Multi-/InterdisciplinaryStudies,Other",1,0,0,1
55,Biological Sci,36,Neurobiology and Behavior,26.1504,NeurobiologyandBehavior,0,0,NA,NA
55,Biological Sci,114,Biochemistry and Molecular Biol,26.021,BiochemistryandMolecualrBiology,2,0,NA,1
55,Biological Sci,120,Biological Sciences,26.0101,"Biology/BiologicalSciences,General",1,1,1,1
55,Biological Sci,123,Biology,26.0101,"Biology/BiologicalSciences,General",0,1,NA,NA
55,Biological Sci,257,Biotechnology,26.1201,Biotechnology,0,1,NA,NA
55,Biological Sci,390,Genetics,26.0801,"Genetics,General",2,1,1,1
55,Biological Sci,569,Microbiology and Immunology,26.0508,MicrobiologyandImmunology,2,1,0,1
55,Biological Sci,576,Molecular Biology and Biochemistry,26.021,BiochemistryandMolecualrBiology,0,0,NA,NA
55,Biological Sci,593,Neurobiology,26.1503,NeurobiologyandAnatomy,2,0,0,1
55,Biological Sci,618,Developmental and Cell Biology,26.0406,Cell/CellualrandMolecualrBiology,1,1,1,1
55,Biological Sci,680,Plant Biology,26.0301,Botany/PlantBiology,NA,1,0,1
