"";"requested";"in_data";"use_raw";"use_feature";"exclude";"num_unique";"examples";"type";"total_missing";"missing_F08";"missing_F09";"missing_F10";"missing_F11";"missing_F12";"missing_F13";"missing_F14";"missing_F15";"missing_F16"
"mellon_id";TRUE;TRUE;NA;FALSE;TRUE;46408;"300890, 189970, 314750, 173027, 195012";"numeric";0;0;0;0;0;0;0;0;0;0
"student_sid";TRUE;TRUE;NA;FALSE;TRUE;46408;"10857406, 10859561, 10861911, 10861952, 10865378";"numeric";0;0;0;0;0;0;0;0;0;0
"group_a";TRUE;TRUE;NA;FALSE;TRUE;2;"no, yes";"character";0;0;0;0;0;0;0;0;0;0
"mellon_enr_dt_a";TRUE;TRUE;NA;FALSE;TRUE;1;"NA";"character";1;1;1;1;1;1;1;1;1;1
"group_b";TRUE;TRUE;NA;FALSE;TRUE;1;"no";"character";0;0;0;0;0;0;0;0;0;0
"mellon_enr_dt_b";TRUE;TRUE;NA;FALSE;TRUE;1;"NA";"character";1;1;1;1;1;1;1;1;1;1
"mellon_yr";TRUE;TRUE;NA;FALSE;TRUE;1;"NA";"numeric";1;1;1;1;1;1;1;1;1;1
"birth_year";TRUE;TRUE;NA;TRUE;FALSE;17;"1990, 1991, 1989, 1992, 1997";"numeric";0;0;0;0;0;0;0;0;0;0
"birth_month";TRUE;TRUE;NA;TRUE;FALSE;12;"5, 4, 7, 2, 10";"numeric";0;0;0;0;0;0;0;0;0;0
"gender";TRUE;TRUE;NA;FALSE;FALSE;5;"F, M, NA, X, U";"character";0,00062489225995518;0;0;0;0;0,000590667454223272;0,000183958793230316;0,000739918608953015;0,00174064403829417;0,00167453189222104
"female";TRUE;TRUE;NA;FALSE;FALSE;3;"yes, no, NA";"character";0,00269350112049647;0,00412863972186006;0,00148441365660564;0,00430839002267574;0,000586051963274077;0,0013782240598543;0,0033112582781457;0,00351461339252682;0,00278503046127067;0,0027401430963617
"int_student";TRUE;TRUE;NA;FALSE;FALSE;3;"0, 1, NA";"numeric";0,185614549215652;0,996088657105606;0,995546759030183;0,000226757369614512;0,000195350654424692;0,000196889151407757;0;0,000369959304476508;0,000174064403829417;0
"ethnicity";TRUE;TRUE;NA;FALSE;FALSE;7;"Asian / Asian American, White non-Hispanic, Hispanic, NA, Black";"character";0,0301456645405964;0,0556279878313777;0,0403265710044532;0,0437641723356009;0,015237351045126;0,0208702500492223;0,0246504782928624;0,0197928227894932;0,0273281114012184;0,0312071852641193
"ethnicity_detail";TRUE;TRUE;NA;FALSE;FALSE;15;"Filipino/Filipino American, White/Caucasian, Thai/Other Asian, Chicano/Mexican-American, Vietnamese";"character";0,0270212032408205;0,0341156019122121;0,0291934685799109;0,0435374149659864;0,015237351045126;0,0208702500492223;0,0246504782928624;0,0197928227894932;0,0273281114012184;0,0312071852641193
"asian";TRUE;TRUE;NA;FALSE;FALSE;3;"yes, no, NA";"character";0,0270212032408205;0,0341156019122121;0,0291934685799109;0,0435374149659864;0,015237351045126;0,0208702500492223;0,0246504782928624;0,0197928227894932;0,0273281114012184;0,0312071852641193
"hispanic";TRUE;TRUE;NA;FALSE;FALSE;3;"no, yes, NA";"character";0,0270212032408205;0,0341156019122121;0,0291934685799109;0,0435374149659864;0,015237351045126;0,0208702500492223;0,0246504782928624;0,0197928227894932;0,0273281114012184;0,0312071852641193
