"";"requested";"in_data";"use_raw";"use_feature";"exclude";"num_unique";"examples";"type";"total_missing";"missing_F08";"missing_F09";"missing_F10";"missing_F11";"missing_F12";"missing_F13";"missing_F14";"missing_F15";"missing_F16"
"mellon_id";TRUE;TRUE;NA;FALSE;TRUE;46281;"162770, 162771, 162781, 162782, 162784";"numeric";0;0;0;0;0;0;0;0;0;0
"group_a";TRUE;TRUE;NA;FALSE;TRUE;2;"0, 1";"numeric";0;0;0;0;0;0;0;0;0;0
"mellon_enr_dt_a";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"character";1;1;1;1;1;1;1;1;1;1
"group_b";TRUE;TRUE;NA;FALSE;TRUE;1;"0";"numeric";0;0;0;0;0;0;0;0;0;0
"mellon_enr_dt_b";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"character";1;1;1;1;1;1;1;1;1;1
"term_code";TRUE;TRUE;NA;FALSE;FALSE;42;"201814, 201692, 201792, 201903, 201714";"numeric";0;0;0;0;0;0;0;0;0;0
"term_desc";TRUE;TRUE;NA;FALSE;FALSE;42;"Spring 2018, Fall 2016, Fall 2017, Winter 2019, Spring 2017";"character";0;0;0;0;0;0;0;0;0;0
"course_code";TRUE;TRUE;NA;FALSE;FALSE;24810;"36906, 36636, 34213, 36900, 30332";NA;0;0;0;0;0;0;0;0;0;0
"course_code_concat";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";NA;1;1;1;1;1;1;1;1;1;1
"course_title";TRUE;TRUE;NA;FALSE;FALSE;6026;"NA, TECH & SOCIETY, PROJ DATA&WEB APPS, COMP PHOTO & VISION, CHICANO STUDIES I";NA;0,523745165135146;0,364902322728831;0,115931975218759;0,143992540626943;0,235638990382596;0,44800815219738;0,708535144399144;0,978115183801681;0,853121715687021;0,632431857685038
"course_dept_code_and_num";TRUE;TRUE;NA;FALSE;FALSE;4449;"IN4MATX 43, I&CSCI 33, COMPSCI 171, PHILOS 3, COMPSCI 151";NA;0;0;0;0;0;0;0;0;0;0
"course_section_num";TRUE;TRUE;NA;FALSE;FALSE;1142;"A6, 6, 3, A, 2";NA;0,000256526586950671;0,000508078141816935;0,000477354836050936;0,000532812361246781;0,000551565802920219;0,000218773658500076;0,000119756017074547;2,65302657271415e-05;2,03087952314949e-05;4,77392223280683e-05
"course_section_title";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";NA;1;1;1;1;1;1;1;1;1;1
"school_code";TRUE;TRUE;NA;FALSE;FALSE;22;"NA, 95, 60, 62, LA";NA;0,71008312507209;0,534326841557786;0,757562124812836;0,743799713296206;0,736911511486288;0,752345339977144;0,775774156119266;0,741356439426097;0,686092029305592;0,672584883592246
"school_name_abbrev";TRUE;TRUE;NA;FALSE;FALSE;21;"NA, ICS, Humanities, Phys Sci, LARC (TAP)";NA;0,710100965050559;0,534338867075935;0,757562124812836;0,743806056300506;0,736917111139109;0,752348218577914;0,775774156119266;0,741369704558961;0,68614280129367;0,672636962743877
"dept_code";TRUE;TRUE;NA;FALSE;FALSE;97;"NA, COMPSCI, PHILOS, I&C SCI, PHYSICS";NA;0,728993194663386;0,719156049136267;0,757562124812836;0,743799713296206;0,736911511486288;0,752345339977144;0,775774156119266;0,741356439426097;0,686092029305592;0,672584883592246
"dept_name_abbrev";TRUE;TRUE;NA;FALSE;FALSE;111;"IN4MATX, I&CSCI, COMPSCI, PHILOS, MATH";NA;0;0;0;0;0;0;0;0;0;0
"course_level";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, Undergraduate, Graduate";NA;0,728993194663386;0,719156049136267;0,757562124812836;0,743799713296206;0,736911511486288;0,752345339977144;0,775774156119266;0,741356439426097;0,686092029305592;0,672584883592246
"course_type";TRUE;TRUE;NA;FALSE;FALSE;12;"NA, DIS, LEC, SEM, LAB";NA;0,523745165135146;0,364902322728831;0,115931975218759;0,143992540626943;0,235638990382596;0,44800815219738;0,708535144399144;0,978115183801681;0,853121715687021;0,632431857685038
"meeting_schedule";TRUE;TRUE;NA;FALSE;FALSE;2402;"Mo 05:00 PM - 05:50 PM, Tu  Th 04:00 PM - 05:50 PM, Fr 01:00 PM - 01:50 PM, Tu  Th 05:00 PM - 06:20 PM, Mo	 2:00- 2:50p";NA;0,0810344111653658;0,362238670458713;0,111642650109208;0,112398036205869;0,0299581425951591;0,0271365694563187;0,0295451400347026;0,0401031496731471;0,0368147685558923;0,0307418892146247
"meeting_location";TRUE;TRUE;NA;FALSE;FALSE;947;"MSTB 110, ICS 189, ICS 174, HIB 100, HICF 100L";NA;0,0878781960090738;0,380694834438679;0,133947827520365;0,126999632105751;0,0362633516721963;0,0334090405335774;0,0295770749725892;0,0385405170218185;0,0363628978619916;0,0336409619887292
"enroll_restrictions";TRUE;TRUE;NA;FALSE;FALSE;20;"NA, A, X, C, J";NA;0,721528394017455;0,639974024880797;0,480572688434963;0,497145648064749;0,564450604062548;0,684850787729101;0,823325278632333;0,987353022327872;0,911093171675323;0,77309330631004
"enroll_restrictions_desc";TRUE;TRUE;NA;FALSE;FALSE;15;"NA, Prerequisite required, Separate authorization codes required to add, drop, or change enrollment, Fee required, Upper-division only";NA;0,954863008958437;0,999738444980248;0,999498605711774;0,999682849784972;0,998955664748786;0,998615393029756;0,996798522476874;0,987353022327872;0,911093171675323;0,77309330631004
"class_weeks";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";NA;1;1;1;1;1;1;1;1;1;1
"instructor_id";TRUE;TRUE;NA;FALSE;FALSE;9837;"NA, 1706785 1703670, 1714224 1703019, 1708577 1721255, 1703670";NA;0,530286900688223;0,373091700588649;0,129922936384741;0,15785517652581;0,246334327271709;0,452351960758914;0,710658817768599;0,978547627133033;0,85590655923314;0,638316801819298
"instructor_title";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";NA;1;1;1;1;1;1;1;1;1;1
"honors_course";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, 0, 1";NA;0,728993194663386;0,719156049136267;0,757562124812836;0,743799713296206;0,736911511486288;0,752345339977144;0,775774156119266;0,741356439426097;0,686092029305592;0,672584883592246
"transferring_inst";TRUE;TRUE;NA;FALSE;FALSE;2;"NA, &";NA;0,728993194663386;0,719156049136267;0,757562124812836;0,743799713296206;0,736911511486288;0,752345339977144;0,775774156119266;0,741356439426097;0,686092029305592;0,672584883592246
"online_course";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, 0, 1";NA;0,728993194663386;0,719156049136267;0,757562124812836;0,743799713296206;0,736911511486288;0,752345339977144;0,775774156119266;0,741356439426097;0,686092029305592;0,672584883592246
"min_units";TRUE;TRUE;NA;FALSE;FALSE;12;"0, 4, 6, 1, 5";NA;0;0;0;0;0;0;0;0;0;0
"max_units";TRUE;TRUE;NA;FALSE;FALSE;13;"0, 4, NA, 6, 1";NA;0,0707770387173671;0,000348740026335885;0,000535736362762202;0,000491582833293161;0,00161829966542074;0,00224530860039552;0,00483015935534005;0,0210146234824688;0,140293157459167;0,354398626846369
