               predictor  score.mean    score.sd
33             num_terms 0.328048872 0.006385856
14            avg_passed 0.734789008 0.004546948
39            year_study 0.748603291 0.002973447
18                   ell 0.754599965 0.001715933
29   major_school_name_1 0.761116484 0.002271271
19        ethnicity_smpl 0.762363792 0.002284675
7              avg_grade 0.764857814 0.001523111
16       citizenship_app 0.769855811 0.001343566
32           num_schools 0.770225808 0.001673249
8          avg_in_school 0.770959544 0.001328928
26           int_student 0.771101710 0.001470765
21                female 0.771123972 0.001656846
10      avg_num_students 0.771138237 0.001489175
37         uc_read_score 0.771256504 0.001565243
2         any_major_stem 0.771441594 0.001566757
23      first_year_study 0.771839303 0.001390734
15        cal_res_at_app 0.771922574 0.001224685
11     avg_own_ethnicity 0.772096413 0.001386889
36  uc_math_score_recode 0.772145523 0.001341976
34        school_changes 0.772383014 0.001307413
4            avg_credits 0.772437383 0.001368425
13        avg_own_gender 0.772491368 0.001317309
17    distance_from_home 0.772527996 0.001321646
30 mother_edu_level_code 0.772599199 0.001320392
6  avg_credits_rel_major 0.772718483 0.001323107
22      first_generation 0.772753215 0.001342882
38      uc_writing_score 0.772760822 0.001293533
9          avg_n_courses 0.772771981 0.001313865
27            low_income 0.772868353 0.001327659
28         major_changes 0.772944989 0.001367817
35    three_honors_terms 0.772945967 0.001305344
5        avg_credits_lin 0.772949066 0.001359946
31            num_majors 0.772970988 0.001334985
24          geo_category 0.772989015 0.001353977
25                hs_gpa 0.772989075 0.001384275
12     avg_own_first_gen 0.772989981 0.001334142
3                ap_best 0.773090739 0.001347126
20 father_edu_level_code 0.773116620 0.001312574
1       age_at_enrolment 0.773152141 0.001445850
