              predictor   score.mean     score.sd
33             num_terms 0.3532730302 0.0066260143
14            avg_passed 0.7321350217 0.0044160472
39            year_study 0.7638530976 0.0026173180
18                   ell 0.7640430406 0.0034257296
7              avg_grade 0.7671952997 0.0027793033
19        ethnicity_smpl 0.7722979845 0.0024984300
29   major_school_name_1 0.7736689548 0.0008927506
21                female 0.7783456785 0.0017190897
24          geo_category 0.7785356221 0.0015124129
16       citizenship_app 0.7790815253 0.0014745886
15        cal_res_at_app 0.7792045453 0.0018307899
10      avg_num_students 0.7793253180 0.0015230390
8          avg_in_school 0.7799921544 0.0018641029
36  uc_math_score_recode 0.7800904955 0.0014400388
32           num_schools 0.7801630893 0.0017006141
37         uc_read_score 0.7802240495 0.0013962059
2         any_major_stem 0.7803212419 0.0017980972
26           int_student 0.7803491902 0.0015215784
34        school_changes 0.7806110132 0.0016070787
20 father_edu_level_code 0.7806173911 0.0017029162
31            num_majors 0.7806401199 0.0015572141
17    distance_from_home 0.7809307252 0.0016142052
11     avg_own_ethnicity 0.7810084098 0.0019053036
13        avg_own_gender 0.7810527308 0.0013534313
27            low_income 0.7811243173 0.0015022875
38      uc_writing_score 0.7811408975 0.0015720564
30 mother_edu_level_code 0.7811863040 0.0016005996
23      first_year_study 0.7812397049 0.0015743207
28         major_changes 0.7812731087 0.0015736870
1       age_at_enrolment 0.7813105169 0.0018295794
3                ap_best 0.7814556435 0.0015921207
22      first_generation 0.7814690338 0.0016456135
4            avg_credits 0.7814718014 0.0015265805
9          avg_n_courses 0.7814802622 0.0015696661
35    three_honors_terms 0.7814890039 0.0013704531
12     avg_own_first_gen 0.7815433425 0.0015421450
6  avg_credits_rel_major 0.7817629088 0.0014926971
25                hs_gpa 0.7817897139 0.0016170793
5        avg_credits_lin 0.7818368746 0.0015508312
