               predictor   score.mean     score.sd
33             num_terms 0.4181410068 0.0161756449
7              avg_grade 0.7361591578 0.0030043775
39            year_study 0.7574268572 0.0025829788
14            avg_passed 0.7589042359 0.0019591116
32           num_schools 0.7760459295 0.0030470451
18                   ell 0.7768046875 0.0014716202
29   major_school_name_1 0.7843239891 0.0016927069
31            num_majors 0.7850107892 0.0011997404
11     avg_own_ethnicity 0.7878904375 0.0012779264
17    distance_from_home 0.7879767841 0.0007668532
19        ethnicity_smpl 0.7885844965 0.0016511645
25                hs_gpa 0.7890413810 0.0012831317
8          avg_in_school 0.7890594554 0.0011805996
9          avg_n_courses 0.7890828327 0.0009903421
37         uc_read_score 0.7890945557 0.0011014054
36  uc_math_score_recode 0.7892436936 0.0014626786
26           int_student 0.7894688081 0.0010906716
24          geo_category 0.7894780721 0.0010639441
21                female 0.7895258790 0.0011356292
1       age_at_enrolment 0.7897370334 0.0012843230
16       citizenship_app 0.7897568862 0.0009806356
23      first_year_study 0.7900364477 0.0013481571
34        school_changes 0.7900658930 0.0014101078
20 father_edu_level_code 0.7900779533 0.0008439584
15        cal_res_at_app 0.7901038174 0.0011800780
28         major_changes 0.7902892047 0.0014121877
2         any_major_stem 0.7902938276 0.0011477123
3                ap_best 0.7903429892 0.0013847202
4            avg_credits 0.7903457665 0.0012294912
10      avg_num_students 0.7903555268 0.0011648653
27            low_income 0.7903979424 0.0011169267
38      uc_writing_score 0.7904362332 0.0013055754
35    three_honors_terms 0.7904755445 0.0010977892
13        avg_own_gender 0.7904918625 0.0011867611
12     avg_own_first_gen 0.7905117952 0.0012325974
30 mother_edu_level_code 0.7905504345 0.0010277854
5        avg_credits_lin 0.7905667386 0.0011261440
22      first_generation 0.7905707060 0.0013783546
6  avg_credits_rel_major 0.7908211361 0.0011557152
