               predictor   score.mean     score.sd
33             num_terms 0.3309673758 0.0036177353
14            avg_passed 0.6994360710 0.0042832811
32           num_schools 0.7686978712 0.0015693845
18                   ell 0.7689438415 0.0013400744
39            year_study 0.7693061084 0.0012679945
7              avg_grade 0.7698740086 0.0015225658
29   major_school_name_1 0.7736305404 0.0013852692
19        ethnicity_smpl 0.7752408563 0.0013951095
11     avg_own_ethnicity 0.7758887847 0.0010925466
21                female 0.7761701822 0.0012454155
31            num_majors 0.7762813669 0.0012401855
17    distance_from_home 0.7763645509 0.0010891996
15        cal_res_at_app 0.7766059451 0.0011270676
2         any_major_stem 0.7768509241 0.0011992028
36  uc_math_score_recode 0.7768536006 0.0009574861
10      avg_num_students 0.7769340650 0.0009975401
34        school_changes 0.7770556296 0.0012394988
16       citizenship_app 0.7772020520 0.0010396518
8          avg_in_school 0.7772424888 0.0011831949
22      first_generation 0.7773967272 0.0011224410
9          avg_n_courses 0.7774535883 0.0009313739
4            avg_credits 0.7774829322 0.0010372053
38      uc_writing_score 0.7774988464 0.0010333452
37         uc_read_score 0.7775218288 0.0011520312
30 mother_edu_level_code 0.7775834903 0.0011072608
35    three_honors_terms 0.7775909037 0.0010421277
20 father_edu_level_code 0.7775955945 0.0011260250
1       age_at_enrolment 0.7776149244 0.0010467276
12     avg_own_first_gen 0.7776316877 0.0010621991
6  avg_credits_rel_major 0.7776413247 0.0010669951
26           int_student 0.7776664365 0.0010249103
28         major_changes 0.7776716634 0.0010007516
24          geo_category 0.7776750533 0.0010623072
27            low_income 0.7777033005 0.0010555780
13        avg_own_gender 0.7777636049 0.0010460797
25                hs_gpa 0.7777905723 0.0010697819
5        avg_credits_lin 0.7778113880 0.0009802879
23      first_year_study 0.7779026477 0.0010643529
3                ap_best 0.7780348688 0.0010409618
