"";"requested";"in_data";"use_raw";"use_feature";"exclude";"num_unique";"examples";"type";"total_missing";"missing_F08";"missing_F09";"missing_F10";"missing_F11";"missing_F12";"missing_F13";"missing_F14";"missing_F15";"missing_F16"
"student_term_sid (pk)";TRUE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"mellon_id";TRUE;TRUE;NA;FALSE;TRUE;46408;"162770, 162771, 162781, 162782, 162784";"numeric";0;0;0;0;0;0;0;0;0;0
"group_a";TRUE;TRUE;NA;FALSE;TRUE;2;"0, 1";"numeric";0;0;0;0;0;0;0;0;0;0
"mellon_enr_dt_a";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"character";1;1;1;1;1;1;1;1;1;1
"group_b";TRUE;TRUE;NA;FALSE;TRUE;1;"0";"numeric";0;0;0;0;0;0;0;0;0;0
"mellon_enr_dt_b";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"character";1;1;1;1;1;1;1;1;1;1
"term_code";TRUE;TRUE;NA;FALSE;FALSE;43;"201892, 201792, 201803, 201603, 201692";"numeric";0;0;0;0;0;0;0;0;0;0
"term_desc";TRUE;TRUE;NA;FALSE;FALSE;43;"Fall 2018, Fall 2017, Winter 2018, Winter 2016, Fall 2016";"character";0;0;0;0;0;0;0;0;0;0
"term_part_code";TRUE;TRUE;NA;FALSE;FALSE;4;"92, 03, 14, NA";"character";3,48585903186075e-05;0;0;0;0;1,79076680634648e-05;3,32286630447424e-05;1,66552855548708e-05;1,59332079920971e-05;0,000179142321684489
"term_part_desc";TRUE;TRUE;NA;FALSE;FALSE;7;"Fall, Winter, Spring, NA, Fall Quarter";"character";3,48585903186075e-05;0;0;0;0;1,79076680634648e-05;3,32286630447424e-05;1,66552855548708e-05;1,59332079920971e-05;0,000179142321684489
"enrollment_open_date";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, 11/23/2020 00:00:00.000, 02/24/2020 00:00:00.000";"character";0,999988380469894;0,999980796189964;1;1;0,999982517176874;1;1;1;0,999984066792008;0,999958659464227
"enrollment_close_date";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, 12/14/2020 00:00:00.000, 03/11/2020 00:00:00.000";"character";0,999988380469894;0,999980796189964;1;1;0,999982517176874;1;1;1;0,999984066792008;0,999958659464227
"instruction_start_date";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, 01/06/2020 00:00:00.000, 03/30/2020 00:00:00.000";"character";0,999988380469894;0,999980796189964;1;1;0,999982517176874;1;1;1;0,999984066792008;0,999958659464227
"instruction_end_date";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, 03/13/2020 00:00:00.000, 06/05/2020 00:00:00.000";"character";0,999988380469894;0,999980796189964;1;1;0,999982517176874;1;1;1;0,999984066792008;0,999958659464227
"citizenship";TRUE;TRUE;NA;FALSE;FALSE;3;"US Citizen, Not US Citizen, NA";"character";0,000230454013773016;1,92038100359111e-05;0;0;1,74828231262784e-05;7,16306722538591e-05;3,32286630447424e-05;1,66552855548708e-05;6,37328319683885e-05;0,00146069893065814
"household_size";TRUE;TRUE;NA;FALSE;FALSE;14;"NA, 3, 4, 6, 5";"numeric";0,856004973158885;0,998866975207881;0,997971558192288;0,989147442326981;0,909631287260267;0,748110741019304;0,734868497566;0,706300694525408;0,668318409228514;0,99975195678536
"city_residence";TRUE;TRUE;NA;FALSE;FALSE;2282;"SANTA ANA, OCEANSIDE, SAN DIMAS, WEST COVINA, LAS VEGAS";"character";8,5209887445485e-05;1,92038100359111e-05;0;0;1,74828231262784e-05;8,95383403173239e-05;0,00013291465217897;0,000116586998884096;4,77996239762914e-05;0,000261823393231176
"state_residence";TRUE;TRUE;NA;FALSE;FALSE;59;"CA, NV, NA, RI, WA";"character";0,0493094125940214;0,00320703627599716;0,00277002268365032;0,0164092276830491;0,00592667703980839;0,0291178682711937;0,0597119074914021;0,0595093352875535;0,107947484146458;0,11634604784478
"country_residence";TRUE;TRUE;NA;FALSE;FALSE;1;"NA";"logical";1;1;1;1;1;1;1;1;1;1
"zip_code";TRUE;TRUE;NA;FALSE;FALSE;6829;"92707, 92057, 91773, 91791, 89147";"character";0,000476400734354303;3,84076200718223e-05;0,000501657651369743;0,000601805416248746;6,99312925051137e-05;0,00078793739479245;0,000332286630447424;0,000782798421078929;0,0005576622797234;0,000564987322235696
"housing_status";TRUE;TRUE;NA;FALSE;FALSE;3;"NA, On-campus, Off-campus";"character";0,830201869969712;0,99948149712903;0,998778572674926;0,994603811434303;0,958897882830119;0,866068550553347;0,819169615710512;0,762545593844207;0,606274497307288;0,619046962848638
